SizeDataset;TrainPercent;sizeTrainDataset;sizeTestDataset;mse;mape
50;0.5;25;25;0.0574102014631;2.93689633743
50;0.51;25;25;0.0574102014631;2.93689633743
50;0.52;26;24;0.0607742932644;3.01791145922
50;0.53;26;24;0.0607742932644;3.01791145922
50;0.54;27;23;0.0509442036813;2.83116808462
50;0.55;27;23;0.0509442036813;2.83116808462
50;0.56;28;22;0.0525288636508;2.88067260323
50;0.57;28;22;0.0525288636508;2.88067260323
50;0.58;29;21;0.0531941454988;2.89148102651
50;0.59;29;21;0.0531941454988;2.89148102651
50;0.6;30;20;0.0517321137132;2.83069200595
50;0.61;30;20;0.0517321137132;2.83069200595
50;0.62;31;19;0.0525566397955;2.91022824509
50;0.63;31;19;0.0525566397955;2.91022824509
50;0.64;32;18;0.0445959620532;2.72982073062
50;0.65;32;18;0.0445959620532;2.72982073062
50;0.66;33;17;0.0455237045517;2.72535367992
50;0.67;33;17;0.0455237045517;2.72535367992
50;0.68;34;16;0.0400194829752;2.57489045978
50;0.69;34;16;0.0400194829752;2.57489045978
50;0.7;35;15;0.0398384111104;2.57893371907
50;0.71;35;15;0.0398384111104;2.57893371907
50;0.72;36;14;0.0398944761373;2.57819867211
50;0.73;36;14;0.0398944761373;2.57819867211
50;0.74;37;13;0.0373283814261;2.48236433286
50;0.75;37;13;0.0373283814261;2.48236433286
50;0.76;38;12;0.0367328610377;2.44092383869
50;0.77;38;12;0.0367328610377;2.44092383869
50;0.78;39;11;0.0386247834695;2.49795351705
50;0.79;39;11;0.0386247834695;2.49795351705
50;0.8;40;10;0.0375896109054;2.45458104382
50;0.81;40;10;0.0375896109054;2.45458104382
50;0.82;41;9;0.032002001222;2.2732027022
50;0.83;41;9;0.032002001222;2.2732027022
50;0.84;42;8;0.0325882010503;2.27444472363
50;0.85;42;8;0.0325882010503;2.27444472363
50;0.86;43;7;0.0296318155479;2.15234729946
50;0.87;43;7;0.0296318155479;2.15234729946
50;0.88;44;6;0.0330993335877;2.30412922452
50;0.89;44;6;0.0330993335877;2.30412922452
