SizeDataset;TrainPercent;sizeTrainDataset;sizeTestDataset;mse;mape
50;0.5;25;25;3.08024549788;6.7829314416
50;0.51;25;25;3.08024549788;6.7829314416
50;0.52;26;24;3.18564178118;6.93301102153
50;0.53;26;24;3.18564178118;6.93301102153
50;0.54;27;23;3.14987492712;6.93036564246
50;0.55;27;23;3.14987492712;6.93036564246
50;0.56;28;22;2.9385165061;6.70051393139
50;0.57;28;22;2.9385165061;6.70051393139
50;0.58;29;21;2.86215433905;6.436526994
50;0.59;29;21;2.86215433905;6.436526994
50;0.6;30;20;2.46780960403;5.94543221298
50;0.61;30;20;2.46780960403;5.94543221298
50;0.62;31;19;2.44978241974;5.85799082622
50;0.63;31;19;2.44978241974;5.85799082622
50;0.64;32;18;1.7800031994;5.09239949417
50;0.65;32;18;1.7800031994;5.09239949417
50;0.66;33;17;1.73154949817;4.97791433943
50;0.67;33;17;1.73154949817;4.97791433943
50;0.68;34;16;1.51836946609;4.61143334356
50;0.69;34;16;1.51836946609;4.61143334356
50;0.7;35;15;1.61561909858;4.91913525744
50;0.71;35;15;1.61561909858;4.91913525744
50;0.72;36;14;1.68292515314;5.0253210489
50;0.73;36;14;1.68292515314;5.0253210489
50;0.74;37;13;1.81312490403;5.28597068823
50;0.75;37;13;1.81312490403;5.28597068823
50;0.76;38;12;1.71434539368;5.13143966156
50;0.77;38;12;1.71434539368;5.13143966156
50;0.78;39;11;1.85195226659;5.38890249541
50;0.79;39;11;1.85195226659;5.38890249541
50;0.8;40;10;1.8787533182;5.31357311582
50;0.81;40;10;1.8787533182;5.31357311582
50;0.82;41;9;2.01049760702;5.46406600955
50;0.83;41;9;2.01049760702;5.46406600955
50;0.84;42;8;1.94201741533;5.18075199068
50;0.85;42;8;1.94201741533;5.18075199068
50;0.86;43;7;1.59880798632;4.4490915677
50;0.87;43;7;1.59880798632;4.4490915677
50;0.88;44;6;1.82351250694;4.78546394605
50;0.89;44;6;1.82351250694;4.78546394605
